p1,p2,result,date
Bisu,sKyHigh,Win,11-07-04
Bisu,HiyA,Win,11-06-26
Bisu,Wooki,Win,11-06-22
Bisu,RorO,Loss,11-06-22
Bisu,Tyson,Win,11-06-20
Bisu,hyvaa,Loss,11-06-17
Bisu,hyvaa,Win,11-06-17
Bisu,hyvaa,Loss,11-06-17
Bisu,Rudy,Win,11-06-17
Bisu,Rudy,Win,11-06-17
Bisu,Always,Win,11-06-14
Bisu,Action,Win,11-06-12
Bisu,Flying,Win,11-06-07
Bisu,Modesty,Win,11-06-04
Bisu,BaBy,Win,11-05-21
Bisu,Horang2,Loss,11-05-17
Bisu,Jaedong,Win,11-05-14
Bisu,Bogus,Win,11-05-11
Bisu,Classic,Win,11-05-11
Bisu,great,Win,11-05-08
Bisu,ZerO,Loss,11-05-04
Bisu,free,Win,11-05-04
Bisu,HyuN,Win,11-05-01
Bisu,Crazy-Hydra,Win,11-04-25
Bisu,ggaemo,Win,11-04-23
Bisu,M18M,Win,11-04-23
Bisu,Flash,Loss,11-04-21
Bisu,Sea,Win,11-04-21
Bisu,Flash,Loss,11-04-21
Bisu,Flash,Loss,11-04-17
Bisu,Flash,Win,11-04-09
Bisu,Jaedong,Win,11-04-02
Bisu,PerfectMan,Win,11-03-24
Bisu,Sharp,Win,11-03-24
Bisu,Jaedong,Loss,11-03-20
Bisu,Stats,Loss,11-03-16
Bisu,Leta,Loss,11-03-14
Bisu,free,Loss,11-03-08
Bisu,Really,Win,11-03-08
Bisu,Neo.G_Soulkey,Win,11-03-08
Bisu,Sea,Win,11-03-06
Bisu,Stork,Loss,11-02-28
Bisu,Reality,Win,11-02-28
Bisu,Kal,Loss,11-02-26
Bisu,FrOzen,Win,11-02-26
Bisu,Calm,Win,11-02-26
Bisu,firebathero,Win,11-02-20
Bisu,Peace,Win,11-02-20
Bisu,HiyA,Loss,11-02-16
Bisu,Jaedong,Win,11-02-16
Bisu,sHy,Win,11-02-16
Bisu,Killer,Win,11-02-16
Bisu,Hydra,Loss,11-02-01
Bisu,Movie,Win,11-02-01
Bisu,Horang2,Win,11-02-01
Bisu,Stork,Loss,11-01-30
Bisu,JangBi,Win,11-01-30
Bisu,Brave,Win,11-01-30
Bisu,ZerO,Win,11-01-24
Bisu,M18M,Win,11-01-22
Bisu,Iris,Win,11-01-22
Bisu,firebathero,Win,11-01-22
Bisu,ggaemo,Win,11-01-22
Bisu,BaBy,Win,11-01-15
Bisu,Shine,Win,11-01-15
Bisu,Pure,Win,11-01-15
Bisu,RorO,Win,11-01-15
Bisu,Stork,Loss,11-01-13
Bisu,Bogus,Win,11-01-11
Bisu,Kal,Win,11-01-11
Bisu,hero,Win,11-01-11
Bisu,Calm,Win,11-01-11
Bisu,Flash,Loss,11-01-08
Bisu,Stork,Loss,11-01-06
Bisu,Kal,Win,10-12-30
Bisu,Shine,Win,10-12-30
Bisu,Jaedong,Win,10-12-28
Bisu,Sea,Win,10-12-26
Bisu,great,Win,10-12-21
Bisu,Iris,Win,10-12-19
Bisu,Action,Loss,10-12-15
Bisu,ZerO,Win,10-12-08
Bisu,Kal,Loss,10-12-01
Bisu,Kal,Win,10-12-01
Bisu,RorO,Win,10-11-29
Bisu,Shine,Loss,10-11-26
Bisu,Shine,Loss,10-11-26
Bisu,Really,Win,10-11-18
Bisu,Orion,Win,10-11-18
Bisu,PerfectMan,Win,10-11-16
Bisu,Calm,Win,10-11-13
Bisu,Rock,Win,10-11-10
Bisu,Shine,Win,10-11-07
Bisu,Kal,Loss,10-11-04
Bisu,Kal,Loss,10-11-04
Bisu,Kal,Win,10-11-04
Bisu,RorO,Win,10-11-04
Bisu,Violet,Win,10-11-04
Bisu,great,Win,10-11-03
Bisu,Neo.G_Soulkey,Win,10-10-26
Bisu,Really,Win,10-10-26
Bisu,HoGiL,Win,10-10-23
Bisu,HyuN,Win,10-10-18
Bisu,fOrGG,Win,10-10-16
Bisu,Kal,Loss,10-08-19
Bisu,Kal,Loss,10-08-19
Bisu,BaBy,Win,10-08-16
Bisu,BaBy,Win,10-08-16
Bisu,Flash,Loss,10-08-14
Bisu,EffOrt,Loss,10-08-11
Bisu,Stats,Loss,10-08-07
Bisu,Action,Win,10-08-04
Bisu,Kal,Loss,10-08-01
Bisu,Kal,Win,10-07-31
Bisu,Leta,Loss,10-07-30
Bisu,Sea,Loss,10-07-29
Bisu,Pure,Win,10-07-25
Bisu,Midas,Loss,10-07-25
Bisu,Pure,Win,10-07-24
Bisu,Sea,Loss,10-07-22
Bisu,Snow,Win,10-07-20
Bisu,Snow,Win,10-07-20
Bisu,Movie,Win,10-07-18
Bisu,Iris,Win,10-07-17
Bisu,Action,Win,10-07-10
Bisu,Calm,Win,10-07-10
Bisu,Jaedong,Win,10-07-06
Bisu,Tempest,Loss,10-07-03
Bisu,Pusan,Loss,10-06-30
Bisu,hyvaa,Win,10-06-25
Bisu,hyvaa,Win,10-06-25
Bisu,Mind,Win,10-06-23
Bisu,Mind,Win,10-06-23
Bisu,RorO,Win,10-06-21
Bisu,sKyHigh,Win,10-06-17
Bisu,815,Win,10-06-17
Bisu,Much,Loss,10-06-12
Bisu,Stats,Loss,10-06-11
Bisu,sKyHigh,Win,10-06-11
Bisu,Tyson,Win,10-06-11
Bisu,Tyson,Win,10-06-11
Bisu,Sse[kal],Win,10-06-11
Bisu,Sse[kal],Win,10-06-11
Bisu,BaBy,Loss,10-05-17
Bisu,Lomo,Loss,10-05-05
Bisu,Violet,Loss,10-05-02
Bisu,Juni,Loss,10-04-26
Bisu,Light,Loss,10-04-21
Bisu,Pusan,Win,10-04-21
Bisu,Leta,Win,10-04-18
Bisu,free,Loss,10-04-14
Bisu,YellOw,Win,10-04-11
Bisu,Movie,Loss,10-04-08
Bisu,Shuttle,Loss,10-04-08
Bisu,Movie,Win,10-04-08
Bisu,go.go,Loss,10-03-05
Bisu,go.go,Win,10-03-05
Bisu,go.go,Loss,10-03-05
Bisu,Modesty,Win,10-03-05
Bisu,Modesty,Win,10-03-05
Bisu,Light,Loss,10-03-03
Bisu,HoGiL,Loss,10-02-28
Bisu,Horang2,Win,10-02-28
Bisu,YellOw[ArnC],Win,10-02-28
Bisu,BaBy,Win,10-02-25
Bisu,Modesty,Win,10-02-25
Bisu,Killer,Loss,10-02-23
Bisu,Flash,Loss,10-02-20
Bisu,Shine,Loss,10-02-08
Bisu,BaBy,Win,10-02-08
Bisu,Action,Win,10-02-05
Bisu,Action,Win,10-02-05
Bisu,Action,Loss,10-02-05
Bisu,SuperNoVa,Win,10-02-05
Bisu,SuperNoVa,Win,10-02-05
Bisu,firebathero,Loss,10-01-25
Bisu,HoGiL,Loss,10-01-19
Bisu,Action,Win,10-01-13
Bisu,GuemChi,Win,10-01-10
Bisu,815,Win,09-12-30
Bisu,FrOzen,Loss,09-12-27
Bisu,Reach,Win,09-12-22
Bisu,RorO,Win,09-12-19
Bisu,Shine,Win,09-12-19
Bisu,Stork,Loss,09-12-14
Bisu,TurN,Win,09-12-14
Bisu,Hydra,Win,09-12-09
Bisu,Bogus,Loss,09-12-03
Bisu,sAviOr,Win,09-12-03
Bisu,GuemChi,Loss,09-12-03
Bisu,Twilight,Loss,09-12-01
Bisu,hero,Win,09-11-28
