pid,Name,Race,Team,rating,ELO Peak,href
HuK,Chris Loranger,P,Liquid`,2380 pts,2380 pts,/tlpd/sc2-international/players/1598_HuK
MC,Jang Min Chul,P,oGs,2371 pts,2407 pts,/tlpd/sc2-international/players/640_MC
NaNiwa,Johan Lucchesi,P,Dignitas,2332 pts,2394 pts,/tlpd/sc2-international/players/1614_NaNiwa
MMA,Moon Sung Won,T,SlayerS,2325 pts,2325 pts,/tlpd/sc2-international/players/665_MMA
MarineKing,Lee Jung Hoon,T,Prime,2300 pts,2303 pts,/tlpd/sc2-international/players/959_MarineKing
Moon,Jang Jae Ho,Z,FOX,2297 pts,2318 pts,/tlpd/sc2-international/players/2084_Moon
Sen,Yang Chia Cheng,Z,FnaticMSI,2287 pts,2332 pts,/tlpd/sc2-international/players/1176_Sen
Stephano,Ilyes Satouri,Z,Mill.,2283 pts,2311 pts,/tlpd/sc2-international/players/1996_Stephano
Nerchio,Artur Bloch,Z,Empire,2275 pts,2394 pts,/tlpd/sc2-international/players/1771_Nerchio
Ace,Jung Woo Seo,P,ST,2274 pts,2346 pts,/tlpd/sc2-international/players/100_Ace
Bomber,Choi Ji Sung,T,ST,2274 pts,2274 pts,/tlpd/sc2-international/players/561_Bomber
ThorZaIN,Marcus Eklöf,T,mouz.,2270 pts,2293 pts,/tlpd/sc2-international/players/1795_ThorZaIN
MorroW,Stefan Andersson,Z,mouz.,2265 pts,2312 pts,/tlpd/sc2-international/players/1212_MorroW
BRAT_OK,Pavel Kuznetsov,T,RoX.,2262 pts,2311 pts,/tlpd/sc2-international/players/1166_BRAT_OK
Zenio,Choi Jung Min,Z,oGs,2261 pts,2261 pts,/tlpd/sc2-international/players/1903_Zenio
IdrA,Greg Fields,Z,EG.,2251 pts,2353 pts,/tlpd/sc2-international/players/600_IdrA
TheStC,Choi Yun Sik,T,oGs,2245 pts,2284 pts,/tlpd/sc2-international/players/70_TheStC
oGsJ,Jo Chang Ho,Z,oGs,2240 pts,2240 pts,/tlpd/sc2-international/players/2328_oGsJ
Tarson,Tomasz Boroń,T,Mill.,2239 pts,2258 pts,/tlpd/sc2-international/players/1137_Tarson
SuperNoVa,Kim Young Jin,T,oGs,2237 pts,2262 pts,/tlpd/sc2-international/players/26_SuperNoVa
Kas,Mihaylo Hayda,T,Empire,2236 pts,2374 pts,/tlpd/sc2-international/players/1693_Kas
Strelok,Eugin Oparyshev,T,imba.FXO,2236 pts,2365 pts,/tlpd/sc2-international/players/1152_Strelok
Ret,Jos de Kroon,Z,Liquid`,2234 pts,2287 pts,/tlpd/sc2-international/players/980_Ret
TOP,Kim Jung Hoon,T,oGs,2232 pts,2243 pts,/tlpd/sc2-international/players/1870_TOP
Happy,Dmitry Kostin,T,Empire,2231 pts,2306 pts,/tlpd/sc2-international/players/2889_Happy
oGsHero,Song Hyun Deok,P,oGs,2229 pts,2262 pts,/tlpd/sc2-international/players/222_oGsHero
Squirtle,Park Hyun Woo,P,ST,2225 pts,2246 pts,/tlpd/sc2-international/players/969_Squirtle
HwangSin,Hwang Seung Hyuk,P,GoSu,2224 pts,2226 pts,/tlpd/sc2-international/players/2335_HwangSin
July,Park Sung Joon,Z,ST,2224 pts,2269 pts,/tlpd/sc2-international/players/117_July
dignitas.KiLLeR,Pipe Zuñiga,Z,Dignitas,2221 pts,2256 pts,/tlpd/sc2-international/players/2215_dignitas.KiLLeR
LosirA,Hwang Kang Ho,Z,IM,2219 pts,2234 pts,/tlpd/sc2-international/players/688_LosirA
DIMAGA,Dmytro Filipchuk,Z,mTw.MF,2214 pts,-,/tlpd/sc2-international/players/1181_DIMAGA
Beastyqt,Aleksandar Krstic,T,Empire,2208 pts,2252 pts,/tlpd/sc2-international/players/2131_Beastyqt
Rossi,David Rossi,T,TA,2201 pts,2201 pts,/tlpd/sc2-international/players/2871_Rossi
DieStar,Marcin Wieczoerk,T,Mill.,2198 pts,2218 pts,/tlpd/sc2-international/players/1566_DieStar
Sheth,Shawn Simon,Z,FXO,2198 pts,2330 pts,/tlpd/sc2-international/players/1301_Sheth
mOOnGLaDe,Andrew Pender,Z,FXO,2198 pts,2284 pts,/tlpd/sc2-international/players/1602_mOOnGLaDe
MVP,Jeong Jong Hyeon,T,IM,2193 pts,2220 pts,/tlpd/sc2-international/players/590_MVP
White-Ra,Oleksiy Krupnyk,P,Thermaltak,2192 pts,2305 pts,/tlpd/sc2-international/players/1148_White-Ra
Socke,Giacomo Thüs,P,aTn.,2192 pts,2325 pts,/tlpd/sc2-international/players/1460_Socke
HasuObs,Dennis Schneider,P,mouz.,2192 pts,2313 pts,/tlpd/sc2-international/players/1587_HasuObs
Fenix,Jian Carlo Joan Morayra Alejo,T,FnaticMSI,2190 pts,2274 pts,/tlpd/sc2-international/players/1169_Fenix
KiWiKaKi,Jonathan Garneau,P,Reign,2190 pts,2320 pts,/tlpd/sc2-international/players/1784_KiWiKaKi
elfi,Samuli Sihvonen,P,Virus.,2189 pts,2316 pts,/tlpd/sc2-international/players/1836_elfi
qxc,Kevin Riley,T,FXO,2184 pts,2308 pts,/tlpd/sc2-international/players/1596_qxc
Slider,Dominik Rogacki,P,(Unknown/Retired),2181 pts,2201 pts,/tlpd/sc2-international/players/1138_Slider
Genius,Jung Min Soo,P,MVP,2181 pts,2241 pts,/tlpd/sc2-international/players/1894_Genius
NaDa,Lee Yoon Yeol,T,oGs,2181 pts,2195 pts,/tlpd/sc2-international/players/147_NaDa
DeathAngel,Andrei Nodea,Z,Ai,2181 pts,2223 pts,/tlpd/sc2-international/players/1818_DeathAngel
sC,Kim Seung Chul,T,fOu,2178 pts,2204 pts,/tlpd/sc2-international/players/2095_sC
Hack,Kim Young Il,T,ZeNEX,2177 pts,2193 pts,/tlpd/sc2-international/players/2096_Hack
LoWeLy,Anton Plebanovich,Z,imba.FXO,2176 pts,2238 pts,/tlpd/sc2-international/players/1225_LoWeLy
Minigun,Chad Jones,P,coL.,2176 pts,2204 pts,/tlpd/sc2-international/players/2276_Minigun
SeleCT,Ryoo Kyung Hyun,T,Dignitas,2173 pts,2305 pts,/tlpd/sc2-international/players/1825_SeleCT
meRz,Tim Olsson,T,Dignitas,2170 pts,2182 pts,/tlpd/sc2-international/players/1275_meRz
biGs,Han Sang Choi,Z,aAa,2167 pts,2238 pts,/tlpd/sc2-international/players/2485_biGs
BoxeR,Lim Yo Hwan,T,SlayerS,2159 pts,2159 pts,/tlpd/sc2-international/players/225_BoxeR
SLush,Paul-David Pagé,Z,Reign,2158 pts,2182 pts,/tlpd/sc2-international/players/1595_SLush
xiaOt,Sun Li Wei,P,Nv,2158 pts,2225 pts,/tlpd/sc2-international/players/1618_xiaOt
NGry,Timothy Ng,T,vVv,2156 pts,2179 pts,/tlpd/sc2-international/players/2441_NGry
Spades,Brian Francis,T,Reign,2156 pts,2181 pts,/tlpd/sc2-international/players/1999_Spades
SaSe,Kim Hammar,P,MYM,2154 pts,2260 pts,/tlpd/sc2-international/players/2169_SaSe
GoOdy,Sascha Lupp,T,ESC.,2151 pts,2305 pts,/tlpd/sc2-international/players/1221_GoOdy
KawaiiRice,Lok-Yin Kwong,T,FnaticMSI,2148 pts,2223 pts,/tlpd/sc2-international/players/1253_KawaiiRice
DarKFoRcE,Jonathan Belke,Z,aTn.,2148 pts,2194 pts,/tlpd/sc2-international/players/1698_DarKFoRcE
Adelscott,Benoît Strypsteen,P,Mill.,2147 pts,2230 pts,/tlpd/sc2-international/players/1667_Adelscott
eNvious,Jere Huumo,T,myR,2146 pts,2216 pts,/tlpd/sc2-international/players/2006_eNvious
LaLuSh,Faton Rekathati,Z,Mill.,2144 pts,2218 pts,/tlpd/sc2-international/players/1609_LaLuSh
Tefel,Łukasz Czarnecki,Z,SFTO,2144 pts,2198 pts,/tlpd/sc2-international/players/1676_Tefel
MaNa,Grzesiek Komincz,P,mouz.,2142 pts,2268 pts,/tlpd/sc2-international/players/1214_MaNa
Attero,Andrew Golec,P,DREAM,2142 pts,2266 pts,/tlpd/sc2-international/players/1601_Attero
Ostojiy,Christopher Ostojic,Z,GoSu,2142 pts,2142 pts,/tlpd/sc2-international/players/2784_Ostojiy
Joe,Johannes Sabroe Witt,P,SK,2141 pts,2216 pts,/tlpd/sc2-international/players/1752_Joe
Fayth,Josué Sauvageau,P,Reign,2140 pts,2163 pts,/tlpd/sc2-international/players/1372_Fayth
ToD,Yoan Merlo,P,(Unknown/Retired),2139 pts,2168 pts,/tlpd/sc2-international/players/2171_ToD
GuMiho,Koh Byung Jae,T,fOu,2138 pts,-,/tlpd/sc2-international/players/2106_GuMiho
VortiX,Juan Moreno Durán,Z,(Unknown/Retired),2137 pts,2154 pts,/tlpd/sc2-international/players/2634_VortiX
NightEnD,Silviu Lazar,P,FnaticMSI,2136 pts,2203 pts,/tlpd/sc2-international/players/1588_NightEnD
iNSoLeNCE,Alexander Hein,P,srs.,2136 pts,2247 pts,/tlpd/sc2-international/players/1753_iNSoLeNCE
Bubbles,Christopher Guzman,P,GoSu,2135 pts,2249 pts,/tlpd/sc2-international/players/2430_Bubbles
Super,Zhang Ming Lu,P,(Unknown/Retired),2134 pts,2208 pts,/tlpd/sc2-international/players/1249_Super
LucifroN,Pedro Moreno Durán,T,(Unknown/Retired),2134 pts,2227 pts,/tlpd/sc2-international/players/1603_LucifroN
CatZ,Paulo Vizcarra,Z,coL.,2134 pts,2134 pts,/tlpd/sc2-international/players/1636_CatZ
Seiplo,John Seipel,P,Ai,2133 pts,2174 pts,/tlpd/sc2-international/players/1810_Seiplo
AureS,Aurélien Sannier,T,wCrea,2133 pts,2152 pts,/tlpd/sc2-international/players/1737_AureS
MeYera,Mathias Meyer,Z,nevo,2132 pts,2132 pts,/tlpd/sc2-international/players/2007_MeYera
MarinekngXPn,Sung Bae Mun,T,BLAST,2132 pts,2135 pts,/tlpd/sc2-international/players/2585_MarinekngXPn
RedArchon,Thanapol Kuachat,T,inFi,2131 pts,2155 pts,/tlpd/sc2-international/players/2011_RedArchon
Rikytan,Jan Kusák,T,ESC.,2130 pts,2139 pts,/tlpd/sc2-international/players/1904_Rikytan
NamhciR,Richard Chembars,T,GoSu,2130 pts,2233 pts,/tlpd/sc2-international/players/2653_NamhciR
legosu,Simon Bienvenue,P,DREAM,2129 pts,-,/tlpd/sc2-international/players/2288_legosu
DeMusliM,Benjamin Baker,T,EG.,2128 pts,2257 pts,/tlpd/sc2-international/players/1589_DeMusliM
sixjaxMajOr,Juan Carlos Tena Lopez,T,sixjax.,2128 pts,2279 pts,/tlpd/sc2-international/players/1173_sixjaxMajOr
JazBas,Thomas Cho,Z,nGen,2127 pts,2139 pts,/tlpd/sc2-international/players/2876_JazBas
rsvp,Julian Xu,P,coL.,2127 pts,2192 pts,/tlpd/sc2-international/players/2702_rsvp
dde,Lee Dong Yeon,T,sixjax.,2127 pts,2274 pts,/tlpd/sc2-international/players/2071_dde
Kalin,Kalin Romanov,P,Unique,2126 pts,2225 pts,/tlpd/sc2-international/players/2043_Kalin
Ciara,René Krag,Z,(Unknown/Retired),2126 pts,2132 pts,/tlpd/sc2-international/players/1750_Ciara
Bischu,Jesper Johansson,P,Dignitas,2126 pts,2208 pts,/tlpd/sc2-international/players/1672_Bischu
Mihai,Mihai Avrigeanu,T,sixjax.,2124 pts,2211 pts,/tlpd/sc2-international/players/2072_Mihai
EdgE,Cameron Murrin,Z,TA,2124 pts,2185 pts,/tlpd/sc2-international/players/2544_EdgE
YeN,Kevin Yen,T,inFlow,2123 pts,2136 pts,/tlpd/sc2-international/players/2259_YeN
ReSpOnSe,Jonathan Layman,P,NrS,2121 pts,2143 pts,/tlpd/sc2-international/players/1723_ReSpOnSe
ZeeRaX,Georgi Marinov,P,(Unknown/Retired),2121 pts,2189 pts,/tlpd/sc2-international/players/1615_ZeeRaX
Axslav,Nick Ranish,P,EG.,2121 pts,2180 pts,/tlpd/sc2-international/players/1626_Axslav
Junwi,Park Gyung Lak,Z,IM,2120 pts,-,/tlpd/sc2-international/players/168_Junwi
Pomi,Sergey Rodionov,P,RoX.,2120 pts,2166 pts,/tlpd/sc2-international/players/1210_Pomi
IceCream,Cho Jae Won,T,ZeNEX,2119 pts,-,/tlpd/sc2-international/players/2327_IceCream
MurDeR,Ben Cardwell,T,vVv,2119 pts,2193 pts,/tlpd/sc2-international/players/1834_MurDeR
Hotmail,Junfeng Li,P,(Unknown/Retired),2118 pts,2118 pts,/tlpd/sc2-international/players/2766_Hotmail
Grubby,Manuel Schenkhuizen,P,(Unknown/Retired),2117 pts,2169 pts,/tlpd/sc2-international/players/2159_Grubby
bLuR,Jordan Cue,T,ONE,2117 pts,2212 pts,/tlpd/sc2-international/players/2137_bLuR
iceiceice,Daryl Koh Pei Xiang,Z,(Unknown/Retired),2117 pts,2117 pts,/tlpd/sc2-international/players/1637_iceiceice
Pit,Stephan Biesel,T,(Unknown/Retired),2116 pts,2130 pts,/tlpd/sc2-international/players/2599_Pit
LoZ,Emilio Maffi,T,(Unknown/Retired),2116 pts,2143 pts,/tlpd/sc2-international/players/2020_LoZ
SungpA,Seong Min Choi,T,tQ.,2115 pts,2166 pts,/tlpd/sc2-international/players/2524_SungpA
Refallen,Tan Guan Hao,P,nGen,2115 pts,2115 pts,/tlpd/sc2-international/players/2923_Refallen
DemonSheep,Wang Chun,R,Spider,2113 pts,2113 pts,/tlpd/sc2-international/players/2540_DemonSheep
RaNgeD,Austin King,P,NrS,2113 pts,2132 pts,/tlpd/sc2-international/players/2502_RaNgeD
Pokebunny,Nick Taber,T,GoSu,2112 pts,2130 pts,/tlpd/sc2-international/players/2115_Pokebunny
xigua,Lei Wang,Z,Nv,2112 pts,-,/tlpd/sc2-international/players/2918_xigua
owmygroin,Raymond Tan,Z,iS,2112 pts,2168 pts,/tlpd/sc2-international/players/2518_owmygroin
roof,,Z,(Unknown/Retired),2112 pts,-,/tlpd/sc2-international/players/3263_roof
Levin,Carlos Leonardo Cruz,P,CNB,2111 pts,2152 pts,/tlpd/sc2-international/players/2639_Levin
Everize,Hubert Kabak,T,(Unknown/Retired),2110 pts,2110 pts,/tlpd/sc2-international/players/2284_Everize
sYz,Diogo Barbosa,Z,SFTO,2110 pts,2202 pts,/tlpd/sc2-international/players/2008_sYz
TheBest,Kim Chan Min,T,fOu,2110 pts,-,/tlpd/sc2-international/players/2097_TheBest
deth,Daniel Haynes,T,TA,2107 pts,2117 pts,/tlpd/sc2-international/players/2574_deth
CrunCher,Abdulaziz Abed,P,coL.,2105 pts,2282 pts,/tlpd/sc2-international/players/2254_CrunCher
asd,Mac Fountain,T,(Unknown/Retired),2104 pts,2137 pts,/tlpd/sc2-international/players/2700_asd
Ensnare,Kim Sang Cheol,T,oGs,2103 pts,2147 pts,/tlpd/sc2-international/players/1900_Ensnare
Naama,Santeri Lahtinen,T,Virus.,2102 pts,2272 pts,/tlpd/sc2-international/players/1720_Naama
TargA,Kristoffer Marthinsen,Z,inFi,2101 pts,2127 pts,/tlpd/sc2-international/players/2940_TargA
Skew,Alex Brola,T,sixjax.,2099 pts,-,/tlpd/sc2-international/players/1121_Skew
ClouD,Carlo Giannacco,T,MYM,2099 pts,2315 pts,/tlpd/sc2-international/players/1610_ClouD
PredY,Tomáš Pospíšil,T,eSuba.,2098 pts,2187 pts,/tlpd/sc2-international/players/1425_PredY
Mondragon,Christoph Semke,Z,MYM,2096 pts,2124 pts,/tlpd/sc2-international/players/1156_Mondragon
Satiini,Juha-Matti Bäckström,T,Virus.,2096 pts,2214 pts,/tlpd/sc2-international/players/1774_Satiini
Jimpo,Jimmy Wölfinger,T,SK,2096 pts,2170 pts,/tlpd/sc2-international/players/1682_Jimpo
Osho,Dror Evron,Z,Ai,2095 pts,2129 pts,/tlpd/sc2-international/players/2180_Osho
ViBE,Dan Scherlong,Z,sixjax.,2094 pts,2207 pts,/tlpd/sc2-international/players/1934_ViBE
Clonze,Travis Miller,T,DREAM,2093 pts,2178 pts,/tlpd/sc2-international/players/2429_Clonze
Filthy,Phil Edwards,T,(Unknown/Retired),2093 pts,2093 pts,/tlpd/sc2-international/players/1739_Filthy
TT1,Payam Toghyan,P,FnaticMSI,2093 pts,2203 pts,/tlpd/sc2-international/players/1233_TT1
xSixShadow,Erik Kim,P,x6.,2093 pts,2181 pts,/tlpd/sc2-international/players/2728_xSixShadow
Jinro,Jonathan Walsh,T,Liquid`,2092 pts,2191 pts,/tlpd/sc2-international/players/1314_Jinro
IefNaij,Jianfei Wang,P,FnaticMSI,2091 pts,2130 pts,/tlpd/sc2-international/players/1165_IefNaij
San,Kang Cho Won,P,NsHS,2091 pts,-,/tlpd/sc2-international/players/1853_San
monchi,Phillip Simon,P,SFTO,2091 pts,2102 pts,/tlpd/sc2-international/players/2796_monchi
Flashback,Max Kap,P,vile,2090 pts,2104 pts,/tlpd/sc2-international/players/2436_Flashback
SeiN,Tuomas Lahtinen,P,Virus.,2090 pts,2123 pts,/tlpd/sc2-international/players/1866_SeiN
giX,Andrew Benson,Z,VT,2089 pts,2121 pts,/tlpd/sc2-international/players/2249_giX
SjoW,Jeffrey Brusi,T,Dignitas,2088 pts,2312 pts,/tlpd/sc2-international/players/1777_SjoW
ServaNt,Thomas Lankreijer,T,srs.,2088 pts,2116 pts,/tlpd/sc2-international/players/2041_ServaNt
MasterAsia,Ruodu Wang,Z,MnM,2088 pts,2112 pts,/tlpd/sc2-international/players/2116_MasterAsia
YoonYJ,Yoon Yo Jun,T,aLt,2086 pts,2091 pts,/tlpd/sc2-international/players/2572_YoonYJ
Unix,Alexandr Solyakov,T,iP.,2086 pts,2110 pts,/tlpd/sc2-international/players/2133_Unix
OpTiKzErO,Karl Angeles,P,FXO,2086 pts,2216 pts,/tlpd/sc2-international/players/2114_OpTiKzErO
iNkA,Kelby Williams,P,QxG,2085 pts,2163 pts,/tlpd/sc2-international/players/1269_iNkA
Check,Lee Hyung Joo,Z,Prime,2084 pts,2126 pts,/tlpd/sc2-international/players/1860_Check
Vines,Lee Sang Hun,P,oGs,2083 pts,-,/tlpd/sc2-international/players/2105_Vines
Underdark,Alexandr Golik,P,Virus.,2082 pts,2147 pts,/tlpd/sc2-international/players/1905_Underdark
Fah,Phufah Suttiprapa,T,(Unknown/Retired),2081 pts,2162 pts,/tlpd/sc2-international/players/2937_Fah
DarkDreaMs,,Z,(Unknown/Retired),2081 pts,-,/tlpd/sc2-international/players/3039_DarkDreaMs
MoMaN,Emmanuel Marquez,Z,CN,2080 pts,2196 pts,/tlpd/sc2-international/players/1656_MoMaN
HowAreYou,Liang Yongshan,P,TtApollo,2080 pts,2129 pts,/tlpd/sc2-international/players/2972_HowAreYou
Nifi,,P,TYJets,2080 pts,2080 pts,/tlpd/sc2-international/players/2970_Nifi
Drewbie,Andrew Moysey,T,coL.,2079 pts,2289 pts,/tlpd/sc2-international/players/1625_Drewbie
BlinG,Samayan Kay,P,Dignitas,2079 pts,2177 pts,/tlpd/sc2-international/players/2837_BlinG
F91,Sun Yi Feng,Z,DB.,2078 pts,2085 pts,/tlpd/sc2-international/players/1215_F91
Gatored,Ben Brewer,P,GoSu,2077 pts,2107 pts,/tlpd/sc2-international/players/2517_Gatored
CocoA,Aaron Deir,T,sixjax.,2077 pts,2109 pts,/tlpd/sc2-international/players/1185_CocoA
Kowi,Hamish Parker,P,(Unknown/Retired),2076 pts,-,/tlpd/sc2-international/players/2575_Kowi
MacSed,Xiang Hu,P,Nv,2075 pts,2137 pts,/tlpd/sc2-international/players/2539_MacSed
Morph,Marvin Gebhart,Z,(Unknown/Retired),2075 pts,2104 pts,/tlpd/sc2-international/players/2529_Morph
Leenock,Lee Dong Nyung,Z,fOu,2074 pts,-,/tlpd/sc2-international/players/1971_Leenock
Polt,Choi Sung Hoon,T,Prime,2074 pts,-,/tlpd/sc2-international/players/1856_Polt
Lotze,Jun Yung Soo,P,Prime,2073 pts,-,/tlpd/sc2-international/players/203_Lotze
HasHe,Yuri Demenchukov,T,vile,2073 pts,2104 pts,/tlpd/sc2-international/players/2052_HasHe
Vadar,Muqiao Huang,P,MnM,2072 pts,-,/tlpd/sc2-international/players/2647_Vadar
Anotherday,,Z,(Unknown/Retired),2071 pts,-,/tlpd/sc2-international/players/2460_Anotherday
LaCuS,Andy Cullens,Z,(Unknown/Retired),2071 pts,2138 pts,/tlpd/sc2-international/players/2438_LaCuS
Lastshadow,Nick De Cesare,T,GosuGamers,2071 pts,2160 pts,/tlpd/sc2-international/players/1822_Lastshadow
RineTS,Christoph Müller,P,mTw.MF,2071 pts,2085 pts,/tlpd/sc2-international/players/1745_RineTS
Aaron,Aaron Koh,P,aLt,2070 pts,2145 pts,/tlpd/sc2-international/players/2546_Aaron
Junny,Daniel Jun,Z,(Unknown/Retired),2070 pts,2081 pts,/tlpd/sc2-international/players/2206_Junny
SarenS,Pierre Guivarch,T,CN,2070 pts,2197 pts,/tlpd/sc2-international/players/1272_SarenS
