player_a, player_b, score_a, score_b, game_type, court, match_url
M. Gallardo-Valles,V. Pospisil,0,2,Challenger Tour ATP,Hard,http://tennis.wettpoint.com/en/games/979123.html
D. Garza,R. Klaasen,2,1,Challenger Tour ATP,Hard,http://tennis.wettpoint.com/en/games/979122.html
M. Reyes-Varela,L. Diaz-Barriga,2,1,Challenger Tour ATP,Hard,http://tennis.wettpoint.com/en/games/979121.html
J. Souza,G. Ouellette,2,1,Challenger Tour ATP,Hard,http://tennis.wettpoint.com/en/games/979155.html
D. Matsukevich,A. Smirnov,0,2,Challenger Tour ATP,Clay,http://tennis.wettpoint.com/en/games/978976.html
J. Struff,S. Galvani,2,0,Challenger Tour ATP,Clay,http://tennis.wettpoint.com/en/games/978968.html
H. Zeballos,E. Donskoy,2,0,Challenger Tour ATP,Clay,http://tennis.wettpoint.com/en/games/978975.html
G. Rufin,D. Junqueira,0,2,Challenger Tour ATP,Clay,http://tennis.wettpoint.com/en/games/978978.html
J. Lenz,Y. Schukin,0,2,Challenger Tour ATP,Clay,http://tennis.wettpoint.com/en/games/978966.html
M. Teixeira,M. Gawron,0,2,Challenger Tour ATP,Clay,http://tennis.wettpoint.com/en/games/978977.html
A. Ghem,V. Millot,0,2,Challenger Tour ATP,Clay,http://tennis.wettpoint.com/en/games/978965.html
N. Ciric,I. Bozoljac,0,1,Challenger Tour ATP,Clay,http://tennis.wettpoint.com/en/games/978964.html
S. Greul,J. Hajek,0,2,Challenger Tour ATP,Clay,http://tennis.wettpoint.com/en/games/978967.html
P. Kvitova,A. Glatch,2,0,WTA,Grass,http://tennis.wettpoint.com/en/games/978352.html
T. Pironkova,C. Giorgi,2,0,WTA,Grass,http://tennis.wettpoint.com/en/games/978364.html
I. Falconi,S. Dubois,0,2,WTA,Grass,http://tennis.wettpoint.com/en/games/979111.html
S. Halep,B. Jovanovski,2,0,WTA,Grass,http://tennis.wettpoint.com/en/games/978334.html
V. Dolonts,N. Petrova,0,2,WTA,Grass,http://tennis.wettpoint.com/en/games/978345.html
K. Chang,M. Erakovic,0,2,WTA,Grass,http://tennis.wettpoint.com/en/games/978349.html
V. Dushevina,R. Vinci,0,2,WTA,Grass,http://tennis.wettpoint.com/en/games/978355.html
N. Broady,A. Keothavong,0,2,WTA,Grass,http://tennis.wettpoint.com/en/games/978353.html
R. Marino,P. Mayr-Achleitner,2,0,WTA,Grass,http://tennis.wettpoint.com/en/games/978354.html
S. Foretz Gacon,A. Petkovic,0,2,WTA,Grass,http://tennis.wettpoint.com/en/games/979112.html
B. Zahlavova Strycova,A. Wozniak,2,0,WTA,Grass,http://tennis.wettpoint.com/en/games/978337.html
A. Pavlyuchenkova,L. Tsurenko,2,0,WTA,Grass,http://tennis.wettpoint.com/en/games/978344.html
V. King,P. Martic,1,2,WTA,Grass,http://tennis.wettpoint.com/en/games/978365.html
S. Mirza,V. Razzano,1,2,WTA,Grass,http://tennis.wettpoint.com/en/games/978305.html
J. Jankovic,M. Martinez Sanchez,1,2,WTA,Grass,http://tennis.wettpoint.com/en/games/978360.html
D. Hantuchova,V. Diatchenko,2,1,WTA,Grass,http://tennis.wettpoint.com/en/games/978348.html
R. Stepanek,F. Verdasco,2,3,ATP,Grass,http://tennis.wettpoint.com/en/games/978131.html
J. Huta Galung,S. Stadler,0,2,Challenger Tour ATP,Clay,http://tennis.wettpoint.com/en/games/982541.html
A. Ramos,F. Del Bonis,2,0,Challenger Tour ATP,Clay,http://tennis.wettpoint.com/en/games/978963.html
A. Rezai,S. Williams,1,2,WTA,Grass,http://tennis.wettpoint.com/en/games/978335.html
A. Beck,A. Roddick,0,3,ATP,Grass,http://tennis.wettpoint.com/en/games/978151.html
R. Haase,P. Riba,3,0,ATP,Grass,http://tennis.wettpoint.com/en/games/978130.html
S. Stakhovsky,D. Cox,3,0,ATP,Grass,http://tennis.wettpoint.com/en/games/978138.html
A. Morita,T. Paszek,1,2,WTA,Grass,http://tennis.wettpoint.com/en/games/978338.html
S. Zahlavova,I. Benesova,1,2,WTA,Grass,http://tennis.wettpoint.com/en/games/978350.html
I. Karlovic,J. Tipsarevic,1,0,ATP,Grass,http://tennis.wettpoint.com/en/games/978147.html
