pid,Name,Race,Team,rating,ELO Peak,href
Dear,백동준,P,Hwaseung OZ,2010 pts,-,/tlpd/korean/players/958_Dear
Where,한두열,Z,CJ Entus,2009 pts,2020 pts,/tlpd/korean/players/649_Where
FrOzen,김동건,T,STX SouL,2009 pts,2126 pts,/tlpd/korean/players/44_FrOzen
Ssak,최호선,T,SK Telecom T1,2009 pts,2100 pts,/tlpd/korean/players/636_Ssak
Tempest,박재영,P,KT Rolster,2008 pts,2126 pts,/tlpd/korean/players/42_Tempest
RuBy,민찬기,T,(Unknown/Retired),2008 pts,2155 pts,/tlpd/korean/players/112_RuBy
Peace,김태훈,Z,Air Force ACE,2007 pts,2062 pts,/tlpd/korean/players/557_Peace
Sharp,조기석,T,Samsung KHAN,2006 pts,-,/tlpd/korean/players/700_Sharp
Flying,신재욱,P,Woongjin Stars,2005 pts,2069 pts,/tlpd/korean/players/643_Flying
BarrackS,황병영,T,KT Rolster,2005 pts,2005 pts,/tlpd/korean/players/553_BarrackS
herO[jOin],김준호,Z,WeMade FOX,2005 pts,2068 pts,/tlpd/korean/players/682_herO[jOin]
Canata,고인규,T,Air Force ACE,2004 pts,2191 pts,/tlpd/korean/players/1_Canata
Shark,서경종,Z,(Unknown/Retired),2004 pts,2085 pts,/tlpd/korean/players/118_Shark
hero,조일장,Z,STX SouL,2004 pts,2141 pts,/tlpd/korean/players/82_hero
GoRush,박태민,Z,(Unknown/Retired),2001 pts,2311 pts,/tlpd/korean/players/8_GoRush
sHy,김유진,P,Hwaseung OZ,1999 pts,-,/tlpd/korean/players/1101_sHy
Chavi,이정현,Z,Air Force ACE,1996 pts,2033 pts,/tlpd/korean/players/594_Chavi
Juni,유준희,Z,Samsung KHAN,1993 pts,2131 pts,/tlpd/korean/players/54_Juni
Perfective,최용주,Z,KT Rolster,1990 pts,-,/tlpd/korean/players/1098_Perfective
oDin,주영달,Z,Samsung KHAN,1988 pts,2124 pts,/tlpd/korean/players/57_oDin
Lomo,손주흥,T,Hwaseung OZ,1978 pts,2165 pts,/tlpd/korean/players/208_Lomo
Major,강정우,T,WeMade FOX,1977 pts,2055 pts,/tlpd/korean/players/27_Major
Trap,조성호,P,STX SouL,1972 pts,2033 pts,/tlpd/korean/players/618_Trap
Alone,방태수,Z,Hwaseung OZ,1967 pts,2076 pts,/tlpd/korean/players/967_Alone
Orion,권수현,Z,Air Force ACE,1966 pts,2086 pts,/tlpd/korean/players/137_Orion
Rock,안기효,P,Air Force ACE,1965 pts,2151 pts,/tlpd/korean/players/155_Rock
Sacsri,이예훈,Z,WeMade FOX,1959 pts,2043 pts,/tlpd/korean/players/654_Sacsri
Sky,하늘,P,Hwaseung OZ,1944 pts,-,/tlpd/korean/players/713_Sky
Reach,박정석,P,KT Rolster,1919 pts,2250 pts,/tlpd/korean/players/38_Reach
Suny,남승현,T,KT Rolster,1910 pts,2026 pts,/tlpd/korean/players/91_Suny
