p1,p2,result,date
P. Polansky,D. Lojda,Win,11-02-01
P. Polansky,D. Lojda,Win,11-02-01
P. Polansky,D. Lojda,Loss,11-02-01
I. Klec,B. Mitchell,Win,11-02-01
I. Klec,B. Mitchell,Loss,11-02-01
I. Klec,B. Mitchell,Loss,11-02-01
J. Millman,F. Cipolla,Loss,11-02-01
J. Millman,F. Cipolla,Loss,11-02-01
C. Ball,J. Ward,Loss,11-02-01
C. Ball,J. Ward,Loss,11-02-01
D. Bloemke,P. Cervenak,Win,11-02-01
D. Bloemke,P. Cervenak,Loss,11-02-01
D. Bloemke,P. Cervenak,Loss,11-02-01
P. Capdeville,P. Starace,Win,11-02-01
P. Capdeville,P. Starace,Loss,11-02-01
P. Capdeville,P. Starace,Loss,11-02-01
C. Guccione,B. Klein,Win,11-02-01
C. Guccione,B. Klein,Win,11-02-01
L. Saville,P. Lorenzi,Loss,11-02-01
L. Saville,P. Lorenzi,Loss,11-02-01
M. Matosevic,P. Bester,Win,11-02-01
M. Matosevic,P. Bester,Loss,11-02-01
M. Matosevic,P. Bester,Loss,11-02-01
Y. Sugita,D. Udomchoke,Win,11-02-01
Y. Sugita,D. Udomchoke,Win,11-02-01
Y. Sugita,D. Udomchoke,Loss,11-02-01
M. Ebden,G. Zemlja,Win,11-02-01
M. Ebden,G. Zemlja,Win,11-02-01
J. Hernych,J. Duckworth,Win,11-02-01
J. Hernych,J. Duckworth,Win,11-02-01
J. Hernych,J. Duckworth,Loss,11-02-01
G. Jones,T. Ito,Loss,11-02-01
G. Jones,T. Ito,Loss,11-02-01
L. Rosol,E. Chvojka,Loss,11-02-01
L. Rosol,E. Chvojka,Loss,11-02-01
S. Groth,B. Tomic,Loss,11-02-01
S. Groth,B. Tomic,Loss,11-02-01
S. Stadler,M. Vasiliev,Win,11-02-01
S. Stadler,M. Vasiliev,Win,11-02-01
J. Zopp,H. Kontinen,Win,11-02-01
J. Zopp,H. Kontinen,Win,11-02-01
A. Bury,M. Semjan,Win,11-02-01
A. Bury,M. Semjan,Win,11-02-01
A. Bury,M. Semjan,Loss,11-02-01
A. Kudryavtsev,M. Copil,Loss,11-02-01
A. Kudryavtsev,M. Copil,Loss,11-02-01
A. Rumyantsev,D. Meffert,Win,11-02-01
A. Rumyantsev,D. Meffert,Loss,11-02-01
A. Rumyantsev,D. Meffert,Loss,11-02-01
A. Manegin,A. Lobkov,Loss,11-02-01
A. Manegin,A. Lobkov,Loss,11-02-01
F. Serra,D. Brown,Loss,11-02-01
F. Serra,D. Brown,Loss,11-02-01
M. Przysiezny,M. Fischer,Win,11-02-01
M. Przysiezny,M. Fischer,Win,11-02-01
R. Stepanek,S. Koubek,Win,11-02-01
R. Stepanek,S. Koubek,Win,11-02-01
M. Raonic,Y. Lu,Win,11-02-01
M. Raonic,Y. Lu,Win,11-02-01
B. Kavcic,M. Zverev,Win,11-02-01
B. Kavcic,M. Zverev,Win,11-02-01
M. Viola,G. Naso,Loss,11-02-01
M. Viola,G. Naso,Loss,11-02-01
L. Grigelis,M. Middelkoop,Win,11-02-01
L. Grigelis,M. Middelkoop,Win,11-02-01
A. Arnaboldi,M. Elgin,Win,11-02-01
A. Arnaboldi,M. Elgin,Win,11-02-01
D. Pavlovs,A. Menendez-Maceiras,Win,11-02-01
D. Pavlovs,A. Menendez-Maceiras,Loss,11-02-01
D. Pavlovs,A. Menendez-Maceiras,Loss,11-02-01
N. Scholtz,D. Gremelmayr,Loss,11-02-01
N. Scholtz,D. Gremelmayr,Loss,11-02-01
Y. Schukin,A. Mannarino,Loss,11-02-01
Y. Schukin,A. Mannarino,Loss,11-02-01
A. Brizzi,G. Muller,Loss,11-02-01
A. Brizzi,G. Muller,Loss,11-02-01
L. Rochette,A. Stooppini,Win,11-02-01
L. Rochette,A. Stooppini,Loss,11-02-01
L. Rochette,A. Stooppini,Loss,11-02-01
I. Van der Merwe,S. Robert,Win,11-02-01
I. Van der Merwe,S. Robert,Win,11-02-01
P. Petzschner,J. Hajek,Win,11-02-01
P. Petzschner,J. Hajek,Win,11-02-01
C. Niland,I. Belyaev,Loss,11-02-01
C. Niland,I. Belyaev,Loss,11-02-01
M. Ledovskikh,E. Kirillov,Win,11-02-01
M. Ledovskikh,E. Kirillov,Loss,11-02-01
M. Ledovskikh,E. Kirillov,Loss,11-02-01
A. Bogomolov Jr,A. Veic,Win,11-02-01
A. Bogomolov Jr,A. Veic,Win,11-02-01
A. Bogomolov Jr,A. Veic,Loss,11-02-01
K. Anderson,S. Bohli,Win,11-02-01
K. Anderson,S. Bohli,Win,11-02-01
K. Anderson,S. Bohli,Loss,11-02-01
C. Reix,B. Paire,Win,11-02-01
C. Reix,B. Paire,Loss,11-02-01
C. Reix,B. Paire,Loss,11-02-01
N. Mahut,D. Kindlmann,Win,11-02-01
