player_a, player_b, score_a, score_b, game_type, court, match_url
N. Almagro,T. Bellucci,2,0,ATP,Clay,http://tennis.wettpoint.com/en/games/926311.html
A. Falla,M. Fish,0,2,ATP,Hard,http://tennis.wettpoint.com/en/games/926104.html
A. Medina Garrigues,G. Dulko,0,2,WTA,Clay,http://tennis.wettpoint.com/en/games/926346.html
K. Anderson,J. Del Potro,0,2,ATP,Hard,http://tennis.wettpoint.com/en/games/926103.html
D. Ferrer,A. Dolgopolov,2,1,ATP,Clay,http://tennis.wettpoint.com/en/games/926310.html
D. Meffert,I. Bozoljac,2,0,Challenger Tour ATP,Carpet,http://tennis.wettpoint.com/en/games/925975.html
E. Donskoy,A. Di Mauro,2,1,Challenger Tour ATP,Clay,http://tennis.wettpoint.com/en/games/925941.html
R. Federer,N. Djokovic,0,2,ATP,Hard,http://tennis.wettpoint.com/en/games/926262.html
C. Wozniacki,V. Zvonareva,0,2,WTA,Hard,http://tennis.wettpoint.com/en/games/926014.html
S. Seifert,R. Bemelmans,1,2,Challenger Tour ATP,Carpet,http://tennis.wettpoint.com/en/games/925974.html
J. Tipsarevic,K. Nishikori,2,0,ATP,Hard,http://tennis.wettpoint.com/en/games/926106.html
G. Dulko,A. Parra Santonja,2,0,WTA,Clay,http://tennis.wettpoint.com/en/games/926349.html
J. Del Potro,M. Fish,2,0,ATP,Hard,http://tennis.wettpoint.com/en/games/926107.html
